varname,summary
version,ANES 2012 Time Series Release Version
caseid,ANES 2012 Time Series Case ID
weight_ftf,ANES 2012 Time Series Post-stratified weight for face-to-face cases
weight_web,ANES 2012 Time Series Post-stratified weight for web cases
weight_full,ANES 2012 Time Series Post-stratified weight for full sample
psu_full,ANES 2012 Time Series sample PSU for full sample
psu_ftf,ANES 2012 Time Series sample PSU for FTF sample component
strata_full,ANES 2012 Time Series sample strata for full sample
strata_ftf,ANES 2012 Time Series sample strata for FTF sample component
ftf_oversample,ANES 2012 Time Series FTF Oversample Case
wave_completions,ANES 2012 Time Series number of waves completed
mode,ANES 2012 Time Series interview mode
gend_gendobs,PRE: FTF ONLY: INTERVIEWER: Is R male or female (Observation)
gender_respondent_x,SUMMARY: Gender of Respondent for both FTF and Web modes
interest_attention,PRE: How often does R pay attn to politics and elections
interest_following,PRE: Interested in following campaigns standard
interest_wherevote,PRE: Does R know where to go to vote in neighborhood
interest_voted2008,PRE: Did R vote for President in 2008
interest_whovote2008,PRE: Recall of last (2008) Presidential vote choice
interest_whovote2008_oth,PRE: Other Specify- Recall of last (2008) Presidential vote choice
prmedia_useinet,PRE: FTF ONLY: HH Internet use
prmedia_wkinews,PRE: Days in typical week review news on internet
prmedia_atinews,PRE: Attention to internet news
prmedia_wktvnws,PRE: Days in typical week watch news on TV
prmedia_attvnews,PRE: Attention to TV news
prmedia_wkpaprnws,PRE: Days in typical wk read news in print newspaper
prmedia_atpprnews,PRE: Attention to printed newspaper news
prmedia_wkrdnws,PRE: Days in typical week listen news on radio
prmedia_atrdnews,PRE: Attention to radio news
prevote_regist_addr,PRE: R registered to vote (pre-election)- sample address
prevote_regist_noaddr,PRE: WEB ONLY: R registered to vote (pre-election)- no sample address
prevote_reg,PRE: FTF ONLY: Other Registr. location- city and state identifiable
prevote_reg_recordstate,PRE: FTF ONLY: Oth Registr. location – state recorded in correct field
prevote_reg_recordcity,PRE: FTF ONLY: Oth Registr. location – city recorded in correct field
prevote_reg_state,PRE: FTF ONLY: Other Registr. location – state of registr. (FIPS CODE)
prevote_reg_samestate,PRE: FTF ONLY: Oth Reg. location – state same as hsehold’s state (Y/N)
prevote_regincnty,PRE: Is R registered to vote in preload county (resid)
prevote_regyrs3cat,PRE: How long has R been registered at location (collapsed)
prevote_regyrsfull,PRE: RESTRICTED: How long has R been registered at location (full)
prevote_regname,PRE: Name under which R registered to vote- was name given
prevote_regpty_state,PRE: Does recorded state of registration have party registration
prevote_regpty,PRE: Party of registration (also asked if state not recorded correctly)
prevote_regpty_oth,PRE: RESTRICTED: Other specify- Party of registration
prevote_regint,PRE: Does R intend to register to vote
prevote_primv,PRE: Did R vote in the Presidential primary or caucus
prevote_primvwho,PRE: For which candidate did R vote in Presidential prim
prevote_primvwho_oth,PRE: Oth specify- For which candidate did R vote in Presidential prim
prevote_voted,PRE: Already voted in General Election
prevote_vconf,PRE: Confirmation voted (early) in November 6 election
prevote_howvote,PRE: In what manner did R vote
prevote_ckbcard,PRE: Is Pre Ballot Card correct (IF FTF: IWR CHECKPOINT)
prevote_ballot_color,PRE: FTF ONLY: Assigned color for Ballot Card (if displayed)
prevote_presvt,PRE: Did R vote for President
prevote_presvtwho,PRE: For whom did R vote for President
prevote_presvtwho_oth,PRE: Other specify- For whom did R vote for President
prevote_presstr,PRE: Preference strong for Pres cand for whom R voted
prevote_vtpresdec,PRE: How long before election R made decision Pres vote
