1,version,Version of ANES 2016 Time Series release,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
2.0,V160001,2016 Case ID,,,,,,,,,,,,,
3.0,V160001_orig,Original (6-digit) Westat Case ID,,,,,,,,,,,,,
4.0,V160101,Pre-election weight -full sample,,,,,,,,,,,,,
5.0,V160101f,Pre-election weight -FTF sample,,,,,,,,,,,,,
6.0,V160101w,Pre-election weight -Web sample,,,,,,,,,,,,,
7.0,V160102,Post-election weight -full sample,,,,,,,,,,,,,
8.0,V160102f,Post-election weight -FTF sample,,,,,,,,,,,,,
9.0,V160102w,Post-election weight -Web sample,,,,,,,,,,,,,
10.0,V160201,Stratum -full sample,,,,,,,,,,,,,
11.0,V160201f,Stratum -FTF sample,,,,,,,,,,,,,
12.0,V160201w,Stratum -Web sample,,,,,,,,,,,,,
13.0,V160202,Variance PSU -Full sample,,,,,,,,,,,,,
14.0,V160202f,Variance PSU -FTF sample,,,,,,,,,,,,,
15.0,V160202w,Variance PSU -Web sample,,,,,,,,,,,,,
16.0,V160501,Mode of interview,,,,,,,,,,,,,
17.0,V160502,Completed Pre only or completed Pre and Post interviews,,,,,,,,,,,,,
18.0,V161001,PRE: FTF ONLY: Audio Consent,,,,,,,,,,,,,
19.0,V161002,PRE: FTF ONLY: INTERVIEWER : Is R male or female (Observation),,,,,,,,,,,,,
20.0,V161003,PRE: How often does R pay attn to politics and elections,,,,,,,,,,,,,
21.0,V161004,PRE: How interested in following campaigns,,,,,,,,,,,,,
22.0,V161005,PRE: Did R vote for President in 2012,,,,,,,,,,,,,
23.0,V161006,PRE: Recall of last (2012) Presidential vote choice,,,,,,,,,,,,,
24.0,V161007,PRE: FTF ONLY: HH Internet use,,,,,,,,,,,,,
25.0,V161008,PRE: Days in week watch/listen/read news on any media,,,,,,,,,,,,,
26.0,V161009,PRE: Attention to news on any media,,,,,,,,,,,,,
27.0,V161010a,PRE: Vote section- order of major party candidate names / FTF BallotColor,,,,,,,,,,,,,
