var_name,summary,question,valid_labels,missing_labels
V080001,ID.1. CASE ID,CASE ID,,
V080101,"WT.1. PRE CROSS-SECTION SAMPLE WEIGHT - POST-STRAT, centered","CROSS-SECTION SAMPLE WEIGHT - PRE-ELECTION WAVE, POST-STRATIFIED:
centered at mean 1.0",,
V080101a,WT.1. PRE CROSS-SECTION SAMPLE WEIGHT - POST-STRATIFIED,"CROSS-SECTION SAMPLE WEIGHT - PRE-ELECTION WAVE, POST-STRATIFIED",,
V080102,"WT.2. POST CROSS-SECTION SAMPLE WEIGHT -POST-STRAT, centered","CROSS-SECTION SAMPLE WEIGHT - POST-ELECTION WAVE, POST-STRATIFIED:
centered at mean 1.0",,
V080102a,WT.2a. POST CROSS-SECTION SAMPLE WEIGHT -POST-STRATIFIED,"CROSS-SECTION SAMPLE WEIGHT - POST-ELECTION WAVE, POST-STRATIFIED",,
V080103,WT.3. HOUSEHOLD WEIGHT: Household post-stratified,HOUSEHOLD WEIGHT: post-stratified,,
V081001,STUDY.1. Waves completed by respondent,Waves completed by respondent for the ANES 2008 Time Series Study,"0. Pre-election only
1. Pre-election and Post-election",
V081101,HHList.1. Respondent: gender,Selected Respondent: gender,"1. Male respondent selected
2. Female respondent selected",
V081102,HHList.2. Respondent: race,Selected Respondent: race,"1. White
2. Black/African-American
3. White and black
4. Other race
5. White and another race
6. Black and another race
7. White, black and another race","-4. NA (blank recorded)
-9. Refused in household listing"
V081103,HHList.3. Respondent: Latino status,Selected Respondent: Latino status,"1. Latino
2. Not Latino","-4. NA (blank recorded)
-9. Refused in household listing"
V081103a,HHList.3a. Respondent: race and Latino status,Selected Respondent: race and Latino status,"11. Latino - race given as white
12. Latino - race given as black
14. Latino - race given as other
15. Latino - race given as white and other
16. Latino - race given as black and other
21. Not Latino - race given as white
22. Not Latino - race given as black
23. Not Latino - race given as white and black
24. Not Latino - race given as other
25. Not Latino - race given as white and other
26. Not Latino - race given as black and other
27. Not Latino - race given as black, white, and other","-19. Latino status given but refused Race in household listing
-29. Non-Latino status given but refused race in household listing
-44. NA for Latino status and race (blank recorded)
-91. Refused Latino status but gave race as white
-99. Refused Latino status and race in household listing"
V081104,HHList.4. Respondent: age,Selected Respondent: age,,"-8. Don't know (in household listing)
-9. Refused in household listing"
V081105,HHList.5. RESTRICTED: Respondent: relationship to informant,Selected respondent: relationship to household informant,"1. Informant
2. Spouse/partner
3. Relative
4. Non-relative",-9. Refused in household listing
V081106,HHList.6. Respondent: eligible adult number,Selected respondent: eligible adult number,"1. R IS
2. R IS
3. R IS
4. R IS
5. R IS
7. R IS",
V081107,HHList.7. TOTAL IN HH: PERSONS (ADULTS AND CHILDREN),Total in household: total persons (adults and children),,"-4. NA (blank for number of children in HH)
-9. Refused (refused number of children in HH)"
V081108,HHList.8. TOTAL IN HH: ADULTS (18 BY OCT30),Total in household: total adults,,
V081108a,HHList.8a. TOTAL IN HH: ELIGIBLE ADULTS,Total in household: total eligible adults,,
V081108b,HHList.8b. TOTAL IN HH:INELIGIBLE ADULTS (18 BY OCT30),Total in household: total ineligible adults,,
V081108c,HHList.8c. TOTAL IN HH: FEMALE ELIGIBLE ADULTS (18 BY OCT30),Total in household: eligible female adults,,
V081108d,HHList.8d. TOTAL IN HH: MALE ELIGIBLE ADULTS (18 BY OCT30),Total in household: eligible male adults,,
V081108e,HHList.8e. TOTAL IN HH: LATINO ELIGIBLE ADULTS (18 BY OCT30),Total in household: eligible Latino adults,,"-4. NA (blank recorded for Latino status of one or more
-9. Refused Latino status for one or more eligible members of"
V081108f,HHList.8f. TOTAL IN HH: BLACK ELIGIBLE ADULTS (18 BY OCT30),Total in household:  eligible black/African-American adults,,"-4. NA (blank recorded for race of one or more eligible members
-9. Refused race for one or more eligible members of household"
V081108g,HHList.8g. TOTAL IN HH: WHITE ELIGIBLE ADULTS (18 BY OCT30),Total in household:  eligible white adults,,"-4. NA (blank recorded for race of one or more eligible members
-9. Refused race for one or more eligible members of household"
V081108h,HHList.8h. TOTAL IN HH: MIXED/OTH RACE ELIG ADULTS,Total in household: eligible other/mixed race adults,,"-4. NA (blank recorded for race of one or more eligible members
-9. Refused race for one or more eligible members of household"
V081109,HHList.9. TOTAL IN HH: CHILDREN UNDER 18 (NOT 18 BY OCT30),"Total in household: children under 18 years old (not 18 by
October 30, 2008)",,"-4. NA in HHList.9a
-9. Refused HHList.9a"
V081109a,HHList.9a. TOTAL IN HH: CHILDREN UNDER 17,Total in household: children under 17 years old,,"-4. NA (blank recorded)
-9. Refused"
V081109b,"HHList.9b. TOTAL IN HH: CHLDREN 17 YRS OLD, NOT 18 BY OCT30","Total in household: children 17 years old (not 18 by
October 30, 2008)","0. No
1. One",
V081110,HHList.10. HOUSEHOLD COMPOSITION,Household composition,,
V081111a,HHList.11a. ELIGIBLE PERSON #1: gender,Household listing eligible person #1: gender,"1. Male
2. Female",
V081111b,HHList.11b. ELIGIBLE PERSON #1: race,Household listing eligible person #1: race,"1. White
2. Black/African-American
3. White and black
4. Other race
5. White and another race
6. Black and another race
7. White, black and another race","-4. NA (blank recorded)
-9. Refused"
V081111c,HHList.11c. ELIGIBLE PERSON #1: Latino,Household listing eligible person #1: Latino status,"1. Latino
2. Not Latino","-4. NA (blank recorded)
-9. Refused"
V081111d,HHList.11d. ELIGIBLE PERSON #1: race and Latino status,Household listing eligible person #1: race and Latino status,"11. Latino - race given as white
12. Latino - race given as black
14. Latino - race given as other
15. Latino - race given as white and other
16. Latino - race given as black and other
21. Not Latino - race given as white
22. Not Latino - race given as black
23. Not Latino - race given as white and black
24. Not Latino - race given as other
25. Not Latino - race given as white and other
26. Not Latino - race given as black and other
27. Not Latino - race given as black, white, and other","-19. Latino status given but refused Race in household listing
-29. Non-Latino status given but refused race in household listing
-44. NA for Latino status and race (blank recorded)
-91. Refused Latino status but gave race as white
-99. Refused Latino status and race in household listing"
V081111e,HHList.11e. ELIGIBLE PERSON #1: age,Household listing eligible person #1: age,,"-8. Don't know
-9. Refused"
V081111f,"HHList.11f. ELIGIBLE PERSON #1: 18 by October 30, 2008","Household listing eligible person #1: 18 years old by October 30, 2008","1. Yes,
2. No, not","-1. INAP, age is"
V081111g,HHList.11g. RESTRICTED:ELIG PERSON #1: relnship to informant,Household listing eligible person #1: relationship to informant,01. Informant,"-4. NA (blank recorded)
-9. Refused"
V081112a,HHList.12a. ELIGIBLE PERSON #2: gender,Household listing eligible person #2: gender,"1. Male
2. Female","-1. INAP, no additional eligible person"
V081112b,HHList.12b. ELIGIBLE PERSON #2: race,Household listing eligible person #2: race,"1. White
2. Black/African-American
3. White and black
4. Other race
5. White and another race
6. Black and another race
7. White, black and another race","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081112c,HHList.12c. ELIGIBLE PERSON #2: Latino,Household listing eligible person #2: Latino status,"1. Latino
2. Not Latino","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081112d,HHList.12d. ELIGIBLE PERSON #2: race and Latino status,Household listing eligible person #2: race and Latino status,"11. Latino - race given as white
12. Latino - race given as black
14. Latino - race given as other
15. Latino - race given as white and other
16. Latino - race given as black and other
21. Not Latino - race given as white
22. Not Latino - race given as black
23. Not Latino - race given as white and black
24. Not Latino - race given as other
25. Not Latino - race given as white and other
26. Not Latino - race given as black and other
27. Not Latino - race given as black, white, and other","-1. INAP, no additional eligible person
-19. Latino status given but refused Race in household listing
-29. Non-Latino status given but refused race in household listing
-44. NA for Latino status and race (blank recorded)
-91. Refused Latino status but gave race as white
-99. Refused Latino status and race in household listing"
V081112e,HHList.12e. ELIGIBLE PERSON #2: age,Household listing eligible person #2: age,,"-1. INAP, no additional eligible person
-8. Don't know
-9. Refused"
V081112f,"HHList.12f. ELIGIBLE PERSON #2: 18 by October 30, 2008","Household listing eligible person #2: 18 years old by October 30, 2008","1. Yes,
2. No, not","-1. INAP, age is"
V081112g,HHList.12g. RESTRICTED:ELIG PERSON #2: relnship to informant,Household listing eligible person #2: relationship to informant,"1. Informant
2. Spouse/partner
3. Relative
4. Non-relative","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081113a,HHList.13a. ELIGIBLE PERSON #3: gender,Household listing eligible person #3: gender,"1. Male
2. Female","-1. INAP, no additional eligible person"
V081113b,HHList.13b. ELIGIBLE PERSON #3: race,Household listing eligible person #3: race,"1. White
2. Black/African-American
3. White and black
4. Other race
5. White and another race
6. Black and another race
7. White, black and another race","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081113c,HHList.13c. ELIGIBLE PERSON #3: Latino,Household listing eligible person #3: Latino status,"1. Latino
2. Not Latino","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081113d,HHList.13d. ELIGIBLE PERSON #3: race and Latino status,Household listing eligible person #3: race and Latino status,"11. Latino - race given as white
12. Latino - race given as black
14. Latino - race given as other
15. Latino - race given as white and other
16. Latino - race given as black and other
21. Not Latino - race given as white
22. Not Latino - race given as black
23. Not Latino - race given as white and black
24. Not Latino - race given as other
25. Not Latino - race given as white and other
26. Not Latino - race given as black and other
27. Not Latino - race given as black, white, and other","-1. INAP, no additional eligible person
-19. Latino status given but refused Race in household listing
-29. Non-Latino status given but refused race in household listing
-44. NA for Latino status and race (blank recorded)
-91. Refused Latino status but gave race as white
-99. Refused Latino status and race in household listing"
V081113e,HHList.13e. ELIGIBLE PERSON #3: age,Household listing eligible person #3: age,,"-1. INAP, no additional eligible person
-8. Don't know
-9. Refused"
V081113f,"HHList.13f. ELIGIBLE PERSON #3: 18 by October 30, 2008","Household listing eligible person #3: 18 years old by October 30, 2008","1. Yes,
2. No, not","-1. INAP, age is"
V081113g,HHList.13g. RESTRICTED:ELIG PERSON #3: relnship to informant,Household listing eligible person #3: relationship to informant,"1. Informant
2. Spouse/partner
3. Relative
4. Non-relative","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081114a,HHList.14a. ELIGIBLE PERSON #4: gender,Household listing eligible person #4: gender,"1. Male
2. Female","-1. INAP, no additional eligible person"
V081114b,HHList.14b. ELIGIBLE PERSON #4: race,Household listing eligible person #4: race,"1. White
2. Black/African-American
3. White and black
4. Other race
5. White and another race
6. Black and another race
7. White, black and another race","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081114c,HHList.14c. ELIGIBLE PERSON #4: Latino,Household listing eligible person #4: Latino status,"1. Latino
2. Not Latino","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081114d,HHList.14d. ELIGIBLE PERSON #4: race and Latino status,Household listing eligible person #4: race and Latino status,"11. Latino - race given as white
12. Latino - race given as black
14. Latino - race given as other
15. Latino - race given as white and other
16. Latino - race given as black and other
21. Not Latino - race given as white
22. Not Latino - race given as black
23. Not Latino - race given as white and black
24. Not Latino - race given as other
25. Not Latino - race given as white and other
26. Not Latino - race given as black and other
27. Not Latino - race given as black, white, and other","-1. INAP, no additional eligible person
-19. Latino status given but refused Race in household listing
-29. Non-Latino status given but refused race in household listing
-44. NA for Latino status and race (blank recorded)
-91. Refused Latino status but gave race as white
-99. Refused Latino status and race in household listing"
V081114e,HHList.14e. ELIGIBLE PERSON #4: age,Household listing eligible person #4: age,,"-1. INAP, no additional eligible person
-8. Don't know
-9. Refused"
V081114f,"HHList.14f. ELIGIBLE PERSON #4: 18 by October 30, 2008","Household listing eligible person #4: 18 years old by October 30, 2008","1. Yes,
2. No, not","-1. INAP, age is"
V081114g,HHList.14g. RESTRICTED:ELIG PERSON #4: relnship to informant,Household listing eligible person #4: relationship to informant,"1. Informant
2. Spouse/partner
3. Relative
4. Non-relative","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081115a,HHList.15a. ELIGIBLE PERSON #5: gender,Household listing eligible person #5: gender,"1. Male
2. Female","-1. INAP, no additional eligible person"
V081115b,HHList.15b. ELIGIBLE PERSON #5: race,Household listing eligible person #5: race,"1. White
2. Black/African-American
3. White and black
4. Other race
5. White and another race
6. Black and another race
7. White, black and another race","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081115c,HHList.15c. ELIGIBLE PERSON #5: Latino,Household listing eligible person #5: Latino status,"1. Latino
2. Not Latino","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081115d,HHList.15d. ELIGIBLE PERSON #5: race and Latino status,Household listing eligible person 5: race and Latino status,"11. Latino - race given as white
12. Latino - race given as black
14. Latino - race given as other
15. Latino - race given as white and other
16. Latino - race given as black and other
21. Not Latino - race given as white
22. Not Latino - race given as black
23. Not Latino - race given as white and black
24. Not Latino - race given as other
25. Not Latino - race given as white and other
26. Not Latino - race given as black and other
27. Not Latino - race given as black, white, and other","-1. INAP, no additional eligible person
-19. Latino status given but refused Race in household listing
-29. Non-Latino status given but refused race in household listing
-44. NA for Latino status and race (blank recorded)
-91. Refused Latino status but gave race as white
-99. Refused Latino status and race in household listing"
V081115e,HHList.15e. ELIGIBLE PERSON #5: age,Household listing eligible person #5: age,,"-1. INAP, no additional eligible person
-8. Don't know
-9. Refused"
V081115f,"HHList.15f. ELIGIBLE PERSON #5: 18 by October 30, 2008","Household listing eligible person #5: 18 years old by October 30, 2008","1. Yes,
2. No, not","-1. INAP, age is"
V081115g,HHList.15g. RESTRICTED:ELIG PERSON #5: relnship to informant,Household listing eligible person #5: relationship to informant,"1. Informant
2. Spouse/partner
3. Relative
4. Non-relative","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081116a,HHList.16a. ELIGIBLE PERSON #6: gender,Household listing eligible person #6: gender,"1. Male
2. Female","-1. INAP, no additional eligible person"
V081116b,HHList.16b. ELIGIBLE PERSON #6: race,Household listing eligible person #6: race,"1. White
2. Black/African-American
3. White and black
4. Other race
5. White and another race
6. Black and another race
7. White, black and another race","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081116c,HHList.16c. ELIGIBLE PERSON #6: Latino,Household listing eligible person #6: Latino status,"1. Latino
2. Not Latino","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081116d,HHList.16d. ELIGIBLE PERSON #6: race and Latino status,Household listing eligible person #6: race and Latino status,"11. Latino - race given as white
12. Latino - race given as black
14. Latino - race given as other
15. Latino - race given as white and other
16. Latino - race given as black and other
21. Not Latino - race given as white
22. Not Latino - race given as black
23. Not Latino - race given as white and black
24. Not Latino - race given as other
25. Not Latino - race given as white and other
26. Not Latino - race given as black and other
27. Not Latino - race given as black, white, and other","-1. INAP, no additional eligible person
-19. Latino status given but refused Race in household listing
-29. Non-Latino status given but refused race in household listing
-44. NA for Latino status and race (blank recorded)
-91. Refused Latino status but gave race as white
-99. Refused Latino status and race in household listing"
V081116e,HHList.16e. ELIGIBLE PERSON #6: age,Household listing eligible person #6: age,,"-1. INAP, no additional eligible person
-8. Don't know
-9. Refused"
V081116f,"HHList.16f. ELIGIBLE PERSON #6: 18 by October 30, 2008","Household listing eligible person #6: 18 years old by October 30, 2008","1. Yes,
2. No, not","-1. INAP, age is"
V081116g,HHList.16g. RESTRICTED:ELIG PERSON #6: relnship to informant,Household listing eligible person #6: relationship to informant,"1. Informant
2. Spouse/partner
3. Relative
4. Non-relative","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081117a,HHList.17a. ELIGIBLE PERSON #7: gender,Household listing eligible person #7: gender,"1. Male
2. Female","-1. INAP, no additional eligible person"
V081117b,HHList.17b. ELIGIBLE PERSON #7: race,Household listing eligible person #7: race,"1. White
2. Black/African-American
3. White and black
4. Other race
5. White and another race
6. Black and another race
7. White, black and another race","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081117c,HHList.17c. ELIGIBLE PERSON #7: Latino,Household listing eligible person #7: Latino status,"1. Latino
2. Not Latino","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081117d,HHList.17d. ELIGIBLE PERSON #7: race and Latino status,Household listing eligible person #7: race and Latino status,"11. Latino - race given as white
12. Latino - race given as black
14. Latino - race given as other
15. Latino - race given as white and other
16. Latino - race given as black and other
21. Not Latino - race given as white
22. Not Latino - race given as black
23. Not Latino - race given as white and black
24. Not Latino - race given as other
25. Not Latino - race given as white and other
26. Not Latino - race given as black and other
27. Not Latino - race given as black, white, and other","-1. INAP, no additional eligible person
-19. Latino status given but refused Race in household listing
-29. Non-Latino status given but refused race in household listing
-44. NA for Latino status and race (blank recorded)
-91. Refused Latino status but gave race as white
-99. Refused Latino status and race in household listing"
V081117e,HHList.17e. ELIGIBLE PERSON #7: age,Household listing eligible person #7: age,,"-1. INAP, no additional eligible person
-8. Don't know
-9. Refused"
V081117f,"HHList.17f. ELIGIBLE PERSON #7: 18 by October 30, 2008","Household listing eligible person #7: 18 years old by October 30, 2008","1. Yes,
2. No, not","-1. INAP, age is"
V081117g,HHList.17g. RESTRICTED:ELIG PERSON #7: relnship to informant,Household listing eligible person #7: relationship to informant,"1. Informant
2. Spouse/partner
3. Relative
4. Non-relative","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081118a,HHList.18a. ELIGIBLE PERSON #8: gender,Household listing eligible person #8: gender,"1. Male
2. Female","-1. INAP, no additional eligible person"
V081118b,HHList.18b. ELIGIBLE PERSON #8: race,Household listing eligible person #8: race,"1. White
2. Black/African-American
3. White and black
4. Other race
5. White and another race
6. Black and another race
7. White, black and another race","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081118c,HHList.18c. ELIGIBLE PERSON #8: Latino,Household listing eligible person #8: Latino status,"1. Latino
2. Not Latino","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081118d,HHList.18d. ELIGIBLE PERSON #8: race and Latino status,Household listing eligible person #8: race and Latino status,"11. Latino - race given as white
12. Latino - race given as black
14. Latino - race given as other
15. Latino - race given as white and other
16. Latino - race given as black and other
21. Not Latino - race given as white
22. Not Latino - race given as black
23. Not Latino - race given as white and black
24. Not Latino - race given as other
25. Not Latino - race given as white and other
26. Not Latino - race given as black and other
27. Not Latino - race given as black, white, and other","-1. INAP, no additional eligible person
-19. Latino status given but refused Race in household listing
-29. Non-Latino status given but refused race in household listing
-44. NA for Latino status and race (blank recorded)
-91. Refused Latino status but gave race as white
-99. Refused Latino status and race in household listing"
V081118e,HHList.18e. ELIGIBLE PERSON #8: age,Household listing eligible person #8: age,,"-1. INAP, no additional eligible person
-8. Don't know
-9. Refused"
V081118f,"HHList.18f. ELIGIBLE PERSON #8: 18 by October 30, 2008","Household listing eligible person #8: 18 years old by October 30, 2008","1. Yes,
2. No, not","-1. INAP, age is"
