index,variable,question
1,V160001,version
2,V160001_orig,2016 Case ID
3,V160101,Original (6-digit) Westat Case ID
4,V160101f,Pre-election weight -full sample
5,V160101w,Pre-election weight -FTF sample
6,V160102,Pre-election weight -Web sample
7,V160102f,Post-election weight -full sample
8,V160102w,Post-election weight -FTF sample
9,V160201,Post-election weight -Web sample
10,V160201f,Stratum -full sample
11,V160201w,Stratum -FTF sample
12,V160202,Stratum -Web sample
13,V160202f,Variance PSU -Full sample
14,V160202w,Variance PSU -FTF sample
15,V160501,Variance PSU -Web sample
16,V160502,Mode of interview
17,V161001,Completed Pre only or completed Pre and Post interviews
18,V161002,PRE: FTF ONLY: Audio Consent
19,V161003,PRE: FTF ONLY: INTERVIEWER : Is R male or female (Observation)
20,V161004,PRE: How often does R pay attn to politics and elections
21,V161005,PRE: How interested in following campaigns
22,V161006,PRE: Did R vote for President in 2012
23,V161007,PRE: Recall of last (2012) Presidential vote choice
24,V161008,PRE: FTF ONLY: HH Internet use
25,V161009,PRE: Days in week watch/listen/read news on any media
26,V161010a,PRE: Attention to news on any media
27,V161010b,PRE: Vote section- order of major party candidate names / FTF BallotColor
28,V161010c,PRE: Vote section- household address preloaded (sample address)
29,V161010d,PRE: Vote section- candidate names preloaded for sample address
30,V161010e,PRE: Vote section- FIPS state code for sample address
31,V161010f,PRE: Vote section- 2-char state Postal abbreviation for sample address
32,V161011,PRE: Vote section- U.S. House District number (115th Congress) for sample address
33,V161011a,PRE: Is R registered to vote (pre-election)
34,V161012,PRE WEB: Is R registered (registration address not answered)
35,V161013a,PRE: Address of registration given (not registered at sample address)
36,V161013b,PRE: State included in address of registration (not registered at samp addr)
37,V161014,PRE: City included in address of registration (not registered at samp addr)
38,V161015a,PRE: State of registration - reg state not given (not registered at samp addr)
39,V161015b,PRE: Registration state same as sample address state (all registrations)
40,V161015c,PRE: Registration state (all registrations)
41,V161015d,PRE: Senate race in state of registration (all registrations)
42,V161015e,PRE: Governor race in state of registration (all registrations)
43,V161016,PRE: Party registration in state of registration (all registrations)
44,V161017,PRE: Is R registered to vote in preload county (resid)
45,V161018,PRE: How many years has R been registered at registration location
