var_name,description,valid_labels,missing_labels
V160001,2016 Case ID,,
V160001_orig,Original (6-digit) W estat Case ID,,
V160101,Pre-election weight -full sample,,
V160101f,Pre-election weight -FTF sample,,
V160101w,Pre-election weight -W eb sample,,
V160102,Post-election weight -full sample,,
V160102f,Post-election weight -FTF sample,,
V160102w,Post-election weight -W eb sample,,
V160201,Stratum -full sample,,
V160201f,Stratum -FTF sample,,
V160201w,Stratum -W eb sample,,
V160202,V ariance PSU -F ull sample,,
V160202f,V ariance PSU -FTF sample,,
V160202w,V ariance PSU -W eb sample,,
V160501,Mode of interview,"1. FTF/CASI
2. W eb
",
V160502,Completed Pre only or completed Pre and Post interviews,"0. Pre interview completed-
1. Pre and Post interviews
",
V161001,PRE: FTF ONLY: Audio Consent,"1. Continue
7. Refuse to allow audio
","-1. Inap, W eb mode
"
V161002,PRE: FTF ONLY: INTERVIEWER : Is R male or female (Observation),"1. Male
2. F emale
","-1. Inap, W eb mode
"
V161003,PRE: How often does R pay attn to politics and elections,"1. Always
2. Most of the time
3. About half the time
4. Some of the time
5. Never
",
V161004,PRE: How interested in following campaigns,"1. V ery much interested
2. Somewhat interested
3. Not much interested
",
V161005,PRE: Did R vote for President in 2012,"1. Y es, voted
2. No, didn’t vote
","-8. Don’t know (FTF only)
-9. Refused
"
V161006,PRE: Recall of last (2012) Presidential vote choice,"1. Barack Obama
2. Mitt Romney
5. Other SPECIFY
6. Other specify - specified
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161007,PRE: FTF ONL Y: HH Internet use,"1. Y es
2. No
","-1. Inap, W eb mode
-8. Don’t know (FTF only)
"
V161008,PRE: Days in week watch/listen/read news on any media,"0. None
1. One day
2. T wo days
3. Three days
4. F our days
5. Five days
6. Six days
7. Seven days
","-8. Don’t know (FTF only)
-9. Refused
"
V161009,PRE: Attention to news on any media,"1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all
","-1. Inap,
-9. Refused
"
V161010a,PRE: V ote section- order of major party candidate names / FTF BallotColor,"1. Democratic candidate
2. Republican candidate
",
V161010b,PRE: V ote section- household address preloaded (sample address),"1. Sample address preloaded
",
V161010c,PRE: V ote section- candidate names preloaded for sample address,"0. No candidate names
1. Candidate names
",
V161010d,PRE: V ote section- FIPS state code for sample address,,
V161010e,PRE: V ote section- 2-char state Postal abbreviation for sample address,,
V161010f,PRE: V ote section- U.S. House District number (115th Congress) for sample,,
V161011,PRE: Is R registered to vote (pre-election),"1. Registered at this address
2. Registered at a different
3. Not currently registered
","-8. Don’t know (FTF only)
-9. Refused
"
V161011a,PRE WEB: Is R registered (registration address not answered),"1. Y es
2. No
","-1. INAP , FTF mode/WEB:
-9. Refused
"
V161012,PRE: Address of registration given (not registered at sample address),,
V161011,,,
V161011,,,
V161011a,,"0. Registration address not
1. Registration address given
2. Partial address given for
","-1. Inap,
"
V161013a,PRE: State included in address of registration (not registered at samp addr),,
V161011,,,
V161011,,,
V161011a,,"0. State not included for
1. State included for
","-1. Inap,
"
V161013b,PRE: City included in address of registration (not registered at samp addr),,
V161011,,,
V161011,,,
V161011a,,"0. City not included for
1. City included for
2. City included in incorrect
","-1. Inap,
"
V161014,PRE: State of registration - reg state not given (not registered at samp addr),"5. Arkansas
8. Colorado
36. New Y ork
39. Ohio
48. T exas
","-1. Inap,
"
V161015a,PRE: Registration state same as sample address state (all registrations),"0. State of registration is not
1. State of registration same
","-1. Inap,
"
V161015b,PRE: Registration state (all registrations),,
V161015c,PRE: Senate race in state of registration (all registrations),"0. No Senate race in state of
1. Senate race in state of
","-1. Inap,
"
V161015d,PRE: Governor race in state of registration (all registrations),"0. No Governor race in state
1. Governor race in state of
","-1. Inap,
"
V161015e,PRE: Party registration in state of registration (all registrations),"0. No party registration in
1. Party registration in state
","-1. Inap,
"
V161016,PRE: Is R registered to vote in preload county (resid),"1. Y es, registered in <county
2. No, registered in other
","-1. Inap,
-9. Refused
"
V161017,PRE: How many years has R been registered at registration location,,"-1. Inap
-8. Don’t know (FTF only)
-9. Refused
"
V161018,PRE: Party of registration,"0. No name recorded
1. RESTRICTED: Recorded,
2. RESTRICTED: Partially
1. Democratic party
2. Republican party
4. None or ‘independent’
5. Other SPECIFY
","-1. Inap
-1. Inap
-8. Don’t know (FTF
-9. Refused
"
V161020,PRE: Does R intend to register to vote,"1. Y es, intend to register
2. No, do not intend to
","-1. Inap
-8. Don’t know (FTF only)
"
V161021,PRE: Did R vote in a Presidential primary or caucus,"1. Y es, voted in primary or
2. No, didn’t vote in primary
","-8. Don’t know (FTF only)
-9. Refused
"
V161021a,PRE: F or which candidate did R vote in Presidential prim,"1. Hillary Clinton
2. Bernie Sanders
3. Another Democrat
4. Donald T rump
5. T ed Cruz
6. John Kasich
7. Marco Rubio
8. Another Republican
9. Someone else who is not a
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161022,PRE: Already voted in General Election,"1. Have voted
2. Have not voted
","-1. Inap
-9. Refused
"
V161022a,PRE: Confirmation voted (early) in November 8 election,"1. Y es, voted
2. No, have not voted
","-1. Inap
"
V161023,PRE: In what manner did R vote,"1. Definitely voted in person
2. Definitely voted by mailing
3. Definitely voted in some
","-1. Inap
"
V161024x,PRE: SUMMAR Y - Registration and early vote status,"1. Not (or DK/RF if)
2. Not (or DK/RF if)
3. Registered but did not
4. Registered and voted early
",
V161025,PRE: FTF ONL Y: IWR CHECKPOINT: have correct Pre ballot card,,
V161015a,,"1. Y es, have <yellow/green>
2. Have Ballot Card in wrong
3. Only have card(s) for
","-1. Inap,
"
V161025a,PRE: FTF ONL Y: IWR error at Ballot Card checkpoint,,
V161015a,,"0. Ballot card not used as
1. Ballot card used, names
2. Ballot card not used,
","-1. Inap,
"
V161025x,PRE: SUMMAR Y - administration of Pre vote module,"1. Used Ballot Card/preload
2. Use Ballot Card/preload
3. Used Ballot Card/preload
4. Not used (open-end
5. Not used (open-end
6. Not used (open-end
7. Program err: names
",
V161026,PRE: Did R vote for President in 2016,"1. Y es, voted for President
2. No, didn’t vote for President
","-1. Inap,
"
V161027,PRE: F or whom did R vote for President,,
