Variable,sum1,sum2,sum3,sum4,q_orig,q_1,q_2,q_3,q_4,Valid1,Valid2,Valid3,Valid4,Missing1,Missing2,Missing3,Missing4,Sources
VCF9283,POST: DISCRIMINATION IN THE US AGAINST MEN,POST: DISCRIMINATION IN THE US AGAINST MEN,POST: FTF CASI/WEB: Discrimination in the U.S. against Men,,How much discrimination is there in the United States today against each of the following groups: Men,How much discrimination is there in the United States today against each of the following groups? Men,Men,How much discrimination is there in the United States today against each of the following groups? Men RANDOMIZA TION: Order of discrimination social groups F orward/reverse response option order,,"1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-5. Breakoff, sufficient partial
-6. No post-election interview
-7. No post data, deleted due
-9. Refused",,"2024: V242555
2020: V202535
2016: V162363"
VCF9284,POST: DISCRIMINATION IN THE US AGAINST MUSLIMS,POST: DISCRIMINATION IN THE US AGAINST MUSLIMS,POST: FTF CASI/WEB: Discrimination in the U.S. against Muslims,,Muslims,How much discrimination is there in the United States today against each of the following groups? Muslims,Muslims,How much discrimination is there in the United States today against each of the following groups? Muslims RANDOMIZA TION: Order of discrimination social groups F orward/reverse response option order,,"1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-5. Breakoff, sufficient partial
-6. No post-election interview
-7. No post data, deleted due
-9. Refused",,"2024: V242556
2020: V202531
2016: V162364"
VCF9285,POST: DISCRIMINATION IN THE US AGAINST CHRISTIANS,POST: DISCRIMINATION IN THE US AGAINST CHRISTIANS,POST: FTF CASI/WEB: Discrimination in the U.S. against Christians,,Christians,How much discrimination is there in the United States today against each of the following groups? Christians,Christians,How much discrimination is there in the United States today against each of the following groups? Christians RANDOMIZA TION: Order of discrimination social groups F orward/reverse response option order,,"1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-5. Breakoff, sufficient partial
-6. No post-election interview
-7. No post data, deleted due
-9. Refused",,"2024: V242557
2020: V202532
2016: V162365"
VCF9286,POST: DISCRIMINATION IN THE US AGAINST TRANSGENDER PEOPLE,POST: DISCRIMINATION IN THE US AGAINST TRANSGENDER PEOPLE,POST: FTF CASI/WEB: Discrimination in the U.S. against T ransgender,,Transgender people,How much discrimination is there in the United States today against each of the following groups? Transgender people,Transgender people,How much discrimination is there in the United States today against each of the following groups? T ransgender people RANDOMIZA TION: Order of discrimination social groups F orward/reverse response option order,,"1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-5. Breakoff, sufficient partial
-6. No post-election interview
-7. No post data, deleted due
-9. Refused",,"2024: V242558
2020: V202536
2016: V162366"
VCF9287,"POST: SHOULD THE MINIMUM WAGE BE RAISED, KEPT THE SAME, OR LOWERED","POST: SHOULD THE MINIMUM WAGE BE RAISED, KEPT THE SAME, OR LOWERED",POST: Should the minimum wage be raised,,Minimum wage should be increased/decreased,"Should the federal minimum wage be [raised, kept the same, lowered but not eliminated, or eliminated altogether / eliminated altogether, lowered but not eliminated, kept the same, or raised]? POST-ELECTION SURVEY VARIABLES 489","Should the federal minimum wage be raised, kept the same, lowered but not eliminated, or eliminated altogether?","Should the minimum wage be [raised, kept the same, lowered but not elim- inated, or eliminated altogether / eliminated altogether, lowered but not eliminated, kept the same, or raised]? F orward/reverse response option order",,"1. Raised
2. Kept the same
3. Lowered
4. Eliminated","1. Raised
2. Kept the same
3. Lowered
4. Eliminated","1. Raised
2. Kept the same
3. Lowered
4. Eliminated",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242350
2020: V202377
2016: V162192"
VCF9288,"POST: FAVOR OR OPPOSE REQUIRING VACCINES IN SCHOOLS
POST: FAVOR OR OPPOSE REQUIRING VACCINES IN SCHOOLS (STRENGTH)","POST: FAVOR OR OPPOSE REQUIRING VACCINES IN SCHOOLS
POST: FAVOR OR OPPOSE REQUIRING VACCINES IN SCHOOLS (STRENGTH)","POST: Does R favor or oppose vaccines in schools
POST: How much favor or oppose vaccines in schools",,Favor/oppose requiring children vaccinated for public school,"Do you favor, oppose, or neither favor nor oppose requiring children to be vaccinated in order to attend public schools?
Do you favor that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? / Do you oppose that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? POST-ELECTION SURVEY VARIABLES 473","Do you favor, oppose, or neither favor nor oppose requiring children to be vaccinated in order to attend public schools?
Do you [favor/oppose] that a great deal, a moderate amount, or a little? 510 CODEBOOK: VARIABLES","Do you favor, oppose, or neither favor nor oppose requiring children to be vaccinated in order to attend public schools?
IF R F A VORS REQUIRING V ACCINA TION IN ORDER FOR CHILDREN TO A TTEND SCHOOL / IF R OPPOSES REQUIRING V ACCINA TION IN ORDER FOR CHILDREN TO A TTEND SCHOOL: Do you favor that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? / Do you oppose that [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? F orward/reverse response option order",,"1. Favor
2. Oppose
3. Neither favor nor oppose
1. A great deal
2. A moderate amount
3. A little","1. Favor
2. Oppose
3. Neither favor nor oppose
1. A great deal
2. A moderate amount
3. A little","1. F avor
2. Oppose
3. Neither favor nor oppose

1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable
-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)
-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)
-1. Inapplicable","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused

-1. Inap
-6. No post-election interview
-7. No post data, deleted due",,"2024: V242317;V242318
2020: V202329;V202330
2016: V162146;V162147"
VCF9289,"POST: DO HEALTH BENEFITS OF VACCINATIONS OUTWEIGH THE RISKS
POST: DO HEALTH BENEFITS OF VACCINATIONS OUTWEIGH THE RISKS (STRENGTH)","POST: DO HEALTH BENEFITS OF VACCINATIONS OUTWEIGHT THE RISKS
POST: DO HEALTH BENEFITS OF VACCINATIONS OUTWEIGHT THE RISKS (STRENGTH)","POST: Health benefits of vaccinations outweigh risks
POST: V accinations benefit/risk strength",,Do health benefits of vaccinations outweigh risks,"Now for questions on diﬀerent topics. Do the health beneﬁts of vaccinations generally outweigh the risks, do the risks outweigh the beneﬁts, or is there no diﬀerence? POST-ELECTION SURVEY VARIABLES 491
Are the health beneﬁts of vaccinations [much greater, moderately greater, or slightly greater / slightly greater, moderately greater, or much greater]? / Are the risks of vaccinations [much greater, moderately greater, or slightly greater / slightly greater, moderately greater, or much greater]?","Now for questions on different topics. Do the health benefits of vaccinations generally outweigh the risks, do the risks outweigh the benefits, or is there no difference?
Are the [health benefits/risks] of vaccinations much greater, moderately greater, or slightly greater? 536 CODEBOOK: VARIABLES","Now for questions on different topics. Do the health benefits of vaccinations generally outweigh the risks, do the risks outweigh the benefits, or is there no difference?
IF R SA YS HEAL TH BENEFITS OF V ACCINES OUTWEIGH RISKS / IF R SA YS HEAL TH RISKS OF V ACCINES OUTWEIGHT BENEFITS: Are the health benefits [much greater, moderately greater, or slightly greater / slightly greater, moderately greater, or much greater]? / Are the risks [much greater, moderately greater, or slightly greater / slightly greater, moderately greater, or much greater]? F orward/reverse response option order",,"1. Beneﬁts outweigh risks
2. Risks outweigh beneﬁts
3. No diﬀerence
1. Much greater
2. Moderately greater
3. Slightly greater","1. Benefits outweigh risks
2. Risks outweigh benefits
3. No difference
1. Much greater
2. Moderately greater
3. Slightly greater","1. Benefits outweigh risks
2. Risks outweigh benefits
3. No difference

1. Much greater
2. Moderately greater
3. Slightly greater",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable
-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)
-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)
-1. Inapplicable","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused

-1. Inap
-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242354;V242355
2020: V202381;V202382
2016: V162161;V162162"
VCF9290,"POST: INCREASE/DECREASE GOVERNMENT SPENDING TO HELP PEOPLE PAY FOR HEALTH CARE
POST: HOW MUCH INCREASE/DECREASE IN GOVERNMENT HELP PAYING FOR HEALTH CARE","POST: INCREASE/DECREASE GOVERNMENT SPENDING TO HELP PEOPLE PAY FOR HEALTH CARE
POST: HOW MUCH INCREASE/DECREASE IN GOVERMENT HELP PAYING FOR HEALTH CARE","POST: Increase or decrease gov spending to help people pay for health care
POST: How much favor increase/decrease gov help paying for health care",,Govt should increase/decrease spending on health insurance,"Do you favor an increase, decrease, or no change in government spending to help people pay for health insurance when people can’t pay for it all themselves?
Should it increase [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? / Should it decrease [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? 490 CODEBOOK: VARIABLES","Do you favor an increase, decrease, or no change in government spending tohelp people pay for health insurance when they can’t pay for it all themselves? 534 CODEBOOK: VARIABLES
Should it [increase/decrease] a great deal, a moderate amount, or a little?","Do you favor an increase, decrease, or no change in government spending to help people pay for health insurance when they can’t pay for it all them- selves?
IF R SA YS GOVT HELP FOR PEOPLE TO P A Y FOR HEAL TH CARE SHOULD INCREASE / IF R SA YS GOVT HELP FOR PEOPLE TO P A Y FOR HEAL TH CARE SHOULD DECREASE: Should it increase [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? / Should it decrease [a great deal, a moderate amount, or a little / a little, a moderate amount, or a great deal]? F orward/reverse response option order",,"1. Increase
2. Decrease
3. No change
1. A great deal
2. A moderate amount
3. A little","1. Increase
2. Decrease
3. No change
1. A great deal
2. A moderate amount
3. A little","1. Increase
2. Decrease
3. No change

1. A great deal
2. A moderate amount
3. A little",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable
-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)
-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)
-1. Inapplicable","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused

-1. Inap
-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242351;V242352
2020: V202378;V202379
2016: V162193;V162193a"
VCF9291,POST: DOES R FAVOR OR OPPOSE AFFIRMATIVE ACTION IN UNIVERSITIES POST-ELECTION SURVEY VARIABLES 443,PRE: Does R favor or oppose affirmative action in universities,Does Rfavor or oppose affirmativeaction inuniversities,,Does R favor or oppose allowing universities to increase the number of black students by considering race...; How much favor/oppose,"Do you favor, oppose, or neither favor nor oppose allowing universities to increase the number of black students studying at their schools by considering race along with other factors when choosing students?","Do you favor, oppose, or neither favor nor oppose allowing universities to in- crease the number of black students studying at their schools by considering race along with other factors when choosing students?","Do you favor, oppose, or neither favor nor oppose allowing universities to increase the number of black students studying at their schools by consid- ering racealong with other factors when choosingstudents?",,"1. Favor
2. Oppose
3. Neither favor nor oppose","1. F avor
2. Oppose
3. Neither favor nor oppose","1. Favor
2. Oppose
3. Neither favor nor oppose
1. Favor
2. Oppose
3. Neitherfavor nor oppose",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-8. Don’t know (FTF only)
-9. Refused","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused",,"2024: V242242
2016: V161204
2012: aa_uni"
VCF9292,"POST: DO POLICE TREAT BLACKS OR WHITES BETTER
POST: HOW MUCH BETTER DO POLICE TREAT BLACKS OR WHITES POST-ELECTION SURVEY VARIABLES 549","POST: DO POLICE TREAT BLACKS OR WHITES BETTER
POST: HOW MUCH BETTER DO POLICE TREAT BLACKS OR WHITES","POST: FTF CASI/WEB: Police treat blacks or whites better
POST: FTF CASI/WEB: How much police treat blacks or whites better",,Do police treat whites or blacks better,"In general, do the police [treat whites better than blacks, treat them both same, or treat blacks better than whites / treat blacks better than whites, treat them both the same, or treat whites better than blacks]?
Do the police treat whites [much better, moderately better, or a little better / a little better, moderately better, or much better]? / Do the police treat blacks [much better, moderately better, or a little better / a little better, moderately better, or much better]?","In general, do the police treat whites better than blacks, treat them both thesame, or treat blacks better than whites? POST-ELECTION SURVEY VARIABLES 591
Do the police treat [whites/blacks] much better, moderately better, or a little better?","In general, do the police [treat whites better than blacks, treat them both same, or treat blacks better than whites / treat blacks better than whites, treat them both the same, or treat whites better than blacks]? F orward/reverse response option order
IF R SA YS POLICE TREA T WHITES BETTER THAN BLACKS / IF R SA YS POLICE TREA T BLACKS BETTER THAN WHITES: Do the police treat whites [much better, moderately better, or a little better / a little better, moderately better, or much better]? / Do the police treat blacks [much better, moderately better, or a little better / a little better, moderately better, or much better]? F orward/reverse response option order",,"1. Treat whites better
2. Treat both the same
3. Treat blacks better
1. Much
2. Moderately
3. A little","1. Treat whites better
2. Treat both the same
3. Treat blacks better
1. Much
2. Moderately
3. A little","1. T reat whites better
2. T reat both the same
3. T reat blacks better

1. Much
2. Moderately
3. A little",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable
-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)
-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)
-1. Inapplicable","-5. Breakoff, sufficient partial
-6. No post-election interview
-7. No post data, deleted due
-9. Refused

-1. Inap
-5. Breakoff, sufficient partial
-6. No post-election interview
-7. No post data, deleted due
-9. Refused",,"2024: V242523; V242524
2020: V202491; V202492
2016: V162320;V162321"
