2024 variables used 2x previous,2020,2016,2012,2008,1992,1984,1968,topic,,Questions
V242555,V202535,V162363,,,,,,How much discrimination is there in the United States today against each of the following groups: Men,,"Israel support question varied from 2012, 2016 to 2024"
V242556,V202531,V162364,,,,,,Muslims,,"China military vs. national threat varied from 2012, 2016 to 2024"
V242557,V202532,V162365,,,,,,Christians,,"CSES5/6: For being truly [NATIONALITY], how important does R think it is to...four variations on these questions in CDF"
V242558,V202536,V162366,,,,,,Transgender people,,None of the 2016 and 2020 attitudes about politicians questions got reused
V242350,V202377,V162192,,,,,,Minimum wage should be increased/decreased,,
V242317;V242318,V202329;V202330,V162146;V162147,,,,,,Favor/oppose requiring children vaccinated for public school,,
V242354;V242355,V202381;V202382,V162161;V162162,,,,,,Do health benefits of vaccinations outweigh risks,,
V242351;V242352,V202378;V202379,V162193;V162193a,,,,,,Govt should increase/decrease spending on health insurance,,
V242242,,V161204,aa_uni,,,,,Does R favor or oppose allowing universities to increase the number of black students by considering race...; How much favor/oppose,,
V242523; V242524,V202491; V202492,V162320;V162321,,,,,,Do police treat whites or blacks better,,
V242520; V242521,V202488; V202489,V162318;V162319,,,,,,Does federal govt treat whites or better better (typo on website),,
V241451,V201502,V161110,,,,,,Much or somewhat better/worse off R financially than a year ago [5-pt scale],,
V241452,V201503,V161111,,,,,,Much or somewhat better worse off R financially a year from now [5-pt scale],,
V242426,V202430,V162280,cses_econ,,,,,"CSES: Over the past twelve months has the state of the economy gotten better, stayed the same, or gotten worse","This is inaccurately portrayed on the continuity guide, it should also have 2016, 2020, 2024 noted (currently only 2012, 1996). ",
V242311,V202317,V162134,,,,,,How much opportunity for the average person to get ahead?,,
V242312; V242313,V202318;V202319,V162135;V162136,,,,,,Ability to improve financial well-being compared to 20 years ago,,
V242316a,V202325,V162140,milln_milltax,,,,,Does R favor or oppose increasing income taxes on people making over one million dollars per year,,
V242344; V242345,V202359;V202360,V162176;V162176a,,,,,,Favor/oppose U.S. making free trade agreements with other countries,,
V242315,V202321,V162139,budget_defimp,,,,,Importance of reducing the federal budget deficit,,
V241313,V201350,V161154,,,,,,How willing should the U.S. be in using military force to solve international problems,,
V242343,V202358,V162160,,,,,,How worried is R that U.S will experience terrorist attack,,
V242513,V202476,V161346; V161347,,,,,,(How well does the term 'feminist' describe R?) How important is being feminist?,Second half asked,
V242212,V202224,V162227,,,,,,How important is it that more women be elected to political office,,
V241607,V201639,V161507,,,,,,Women interpret innocent remarks as sexist,,
V241608,V201640,V161509,,,,,,Women gain power by getting control over men,,
V241583,V201628,V161496,,,,,,How many guns does R own?,,
V241370;V241371,V201409;V201410,V161228;V161228a,,,,,,Which bathroom should transgender people use,Changed to 2020 wording,
V241387;V241388,V201418;V201419,V161193;V161193a,,,,,,Favor/oppose changing constitution so that children of unauthorized immigrants do not automatically get citizenship if born in U.S.,,
V241390;V241391,V201421;V201422,V161195;V161195a,,,,,,What should happen to immigrants brought to the U.S. illegally as children?,,
V241393;V241394,V201424;V201425,V161196;V161196a,,,,,,Favor/oppose building a wall on the U.S. border with Mexico,,
V241364;V241365,V201401;V201402,V161224;V161224a,,,,,,Should federal government be doing more about rising temperatures?,,
V241262,V201301,,,V083141a,,,,How much should spending on Social Security be increased/decreased,,
V241265,V201304,,,V083142a,,,,How much should spending on public schools be increased/decreased,,
V241271,V201310,,,V083144a,,,,How much should spending on crime be increased/decreased,,
V241274,V201313,,,V083145a,,,,How much should spending on welfare be increased/decreased,,
V241268,V201307,,,V083149a,,,,How much should spending on border security be increased/decreased,,
V241277,V201316,,,V083140a,,,,How much should spending on highways be increased/decreased,,
V241283,V201322,,,V083151a,,,,How much should spending on the environment be increased/decreased,,
V241280,V201319,,,V083148a,,,,How much should spending on aid to the poor be increased/decreased,,
V241577,V201626,V161362,,,,,,People too easily offended vs change the way we talk to the be more sensitive (typo on website),,
V241336;V241337,V201379,V161171,,,,,,Prefer govt officials compromise vs stick to principles,,
V242408,V202408,V162258,,,,,,CSES: How much does R agree or disagree that R feel that R understand the most important political issues in of this country.,Typo on website?,
V242037,V202042,V162141,,,,,,R ever bought or declined to buy product or service due to political/social values of the company,,
V241579,V201602,V161344,,,,,,How much does R feel it is justified to use violence for political goals,,
V241397,V201429,,,,,,V680464,What is the best way to deal with urban unrest and rioting?,,
V241210,V201216,V161145,,,,,,Does R personally care a good deal or not care very much who wins the Presidential election this fall [5 pt scale],,
V242029,V202025,V162018a,,,,,,"During the past 12 months, have you joined in a protest march, rally, or demonstration",,
V242030,V202026,V162018b,,,,,,"During the past 12 months, have you signed a petition on paper or on the Internet about a political or social issue",,
V242031,V202028,V162018d,,,,,,"Not counting a religious organization, during the past 12 months, have you given money to any other organization concerned with a political or social issue",,
V242036,V202030,V162019,,,,,,"During the past 12 months, have you contacted or tried to contact a member of the U.S. Senate or U.S. House of Representatives","Wording has been changed in 2024, for instead of Senate and House of Reps, it's ""Congress or President"". 2024 words it as ""federal officials"" instead. The continuity guide also does not seem to classify this question in 2024 the same as in 2020 and 2016",
V242036,V202034,V162198,,,,,,"In past 12 months, have R contacted federal elected official and why?",,
V242400,V202406,V162256,,,,,,CSES: How interested would you say you are in politics?,,
V242401,V202407,V162257,,,,,,"CSES5: How closely do you follow politics on TV, radio, newspapers, or the Internet?","Continuity guide needs to be updated, also for 2024, it seems like this question has been split up between many variations? ",
V242214,V202225,V162234,,,,,,Favor/oppose limits on campaign spending,,
V242215,V202226,V162235,,,,,,Does Congress pass laws to benefit organizations that spend money to support candidates,,
V242216,V202227,V162236,,,,,,Does Congress pass laws to benefit people that give [randomized amount of money],,
